# Source VNA	Temp 100.0 mK	PDUT -83.0 dBm
# BW 1000 Hz	Points 20001
# LER1942
# PVNA -40 dB	RTAtt -1.0 dB	OutAtt -42 dB
# LNA 35 dB	RTA None dB
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# BBCON not used
#
        Freq(Hz)	          I(S21)	          Q(S21)
1.940216200e+09	-1.363559999e-03	2.537680506e-01
1.940216350e+09	-8.400937064e-04	2.529601522e-01
1.940216500e+09	4.299514336e-05	2.516937409e-01
1.940216650e+09	-1.613352436e-03	2.524215817e-01
1.940216800e+09	-8.003400505e-04	2.526542230e-01
1.940216950e+09	1.176040472e-03	2.527982292e-01
1.940217100e+09	8.657527040e-04	2.503384780e-01
1.940217250e+09	7.063927087e-04	2.529490510e-01
1.940217400e+09	1.869912671e-03	2.509161925e-01
1.940217550e+09	-5.121712981e-04	2.533083581e-01
1.940217700e+09	7.806923560e-04	2.496368628e-01
1.940217850e+09	-1.032132835e-04	2.516683773e-01
1.940218000e+09	1.426561819e-03	2.498523516e-01
1.940218150e+09	-4.795766735e-04	2.525618545e-01
1.940218300e+09	4.461549162e-04	2.534371362e-01
1.940218450e+09	6.166920632e-04	2.510838159e-01
1.940218600e+09	1.478172658e-04	2.529255732e-01
1.940218750e+09	-1.334785896e-04	2.507979243e-01
1.940218900e+09	9.136526983e-04	2.520568578e-01
1.940219050e+09	3.567533377e-04	2.511506556e-01
1.940219200e+09	1.581815510e-03	2.494572373e-01
1.940219350e+09	-1.042017288e-03	2.513284639e-01
1.940219500e+09	-7.368217914e-04	2.507110646e-01
1.940219650e+09	6.824644155e-04	2.521945012e-01
1.940219800e+09	-2.179689478e-03	2.516062961e-01
1.940219950e+09	1.359859708e-03	2.513685581e-01
1.940220100e+09	1.003606867e-03	2.515525606e-01
1.940220250e+09	7.846109415e-04	2.507622938e-01
1.940220400e+09	1.376124111e-03	2.521518442e-01
1.940220550e+09	8.602236213e-04	2.497515267e-01
1.940220700e+09	1.876897854e-03	2.510645482e-01
1.940220850e+09	1.585668294e-03	2.511268373e-01
1.940221000e+09	1.387738121e-03	2.535757836e-01
1.940221150e+09	-2.008557292e-03	2.529918099e-01
1.940221300e+09	2.324091056e-03	2.523528659e-01
1.940221450e+09	1.394580243e-03	2.529684690e-01
1.940221600e+09	6.956752917e-04	2.514013449e-01
1.940221750e+09	5.938358048e-04	2.522036505e-01
1.940221900e+09	-4.993401857e-04	2.518505686e-01
1.940222050e+09	3.333423587e-04	2.520465587e-01
1.940222200e+09	-3.049550623e-04	2.518851208e-01
1.940222350e+09	1.635834207e-03	2.507863597e-01
1.940222500e+09	1.231789448e-03	2.511848391e-01
1.940222650e+09	4.305017975e-05	2.521845595e-01
1.940222800e+09	1.751841867e-03	2.540136947e-01
1.940222950e+09	-2.366196497e-04	2.506299621e-01
1.940223100e+09	8.307600566e-04	2.511241366e-01
1.940223250e+09	7.679795402e-04	2.535984902e-01
1.940223400e+09	5.029256289e-04	2.522677969e-01
1.940223550e+09	3.808126378e-04	2.517627598e-01
1.940223700e+09	9.156832047e-04	2.537137309e-01
1.940223850e+09	2.307095981e-03	2.529690404e-01
1.940224000e+09	7.489345197e-04	2.506437963e-01
1.940224150e+09	5.981116151e-04	2.522568526e-01
1.940224300e+09	7.129957096e-04	2.511170059e-01
1.940224450e+09	8.649390719e-04	2.528746030e-01
1.940224600e+09	2.306698719e-03	2.526800424e-01
1.940224750e+09	2.192629665e-03	2.510995169e-01
1.940224900e+09	3.077661549e-03	2.515733518e-01
1.940225050e+09	5.201587325e-04	2.505639922e-01
1.940225200e+09	1.307927435e-03	2.522958474e-01
1.940225350e+09	8.135004718e-04	2.529145580e-01
1.940225500e+09	1.270479511e-03	2.521813626e-01
1.940225650e+09	2.621687661e-03	2.527507225e-01
1.940225800e+09	1.394181484e-03	2.534099791e-01
1.940225950e+09	6.362260981e-04	2.505201003e-01
1.940226100e+09	1.933127840e-03	2.524167599e-01
1.940226250e+09	1.296730200e-03	2.526811073e-01
1.940226400e+09	1.190847996e-04	2.530895910e-01
1.940226550e+09	1.734722080e-03	2.521263698e-01
1.940226700e+09	1.149072773e-03	2.510473056e-01
1.940226850e+09	-7.947391915e-05	2.523267421e-01
1.940227000e+09	1.858599783e-03	2.524809833e-01
1.940227150e+09	9.778476505e-04	2.529438204e-01
