# Source ADC	Temp 100.0 mK	PDUT -80.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1944	PSG 4.5	PRF -4.0
# AttVDUT 12006210005 30.5 dB	AttVIQ 12201130093 26.75 dB
# LOAtt 4.5 dB	InAtt 12.0 dB	OutAtt 7.1 dB
# LNA 30.0 dB	RTA 80.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 10.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
1.9402606e+09	1.2826036e-01	-6.9536091e-01
1.9402612e+09	1.2827694e-01	-6.9557411e-01
1.9402618e+09	1.2819211e-01	-6.9553318e-01
1.9402624e+09	1.2767233e-01	-6.9552588e-01
1.9402630e+09	1.2755241e-01	-6.9557555e-01
1.9402636e+09	1.2698671e-01	-6.9565645e-01
1.9402642e+09	1.2686315e-01	-6.9556272e-01
1.9402648e+09	1.2659932e-01	-6.9558035e-01
1.9402654e+09	1.2606095e-01	-6.9571804e-01
1.9402660e+09	1.2610487e-01	-6.9593183e-01
1.9402666e+09	1.2588784e-01	-6.9581108e-01
1.9402672e+09	1.2579083e-01	-6.9588844e-01
1.9402678e+09	1.2561719e-01	-6.9591193e-01
1.9402684e+09	1.2487050e-01	-6.9578459e-01
1.9402690e+09	1.2466583e-01	-6.9591358e-01
1.9402696e+09	1.2442718e-01	-6.9594614e-01
1.9402702e+09	1.2438870e-01	-6.9594846e-01
1.9402708e+09	1.2428055e-01	-6.9624449e-01
1.9402714e+09	1.2372546e-01	-6.9601456e-01
1.9402720e+09	1.2392056e-01	-6.9626047e-01
1.9402726e+09	1.2328555e-01	-6.9615942e-01
1.9402732e+09	1.2309667e-01	-6.9605214e-01
1.9402738e+09	1.2262722e-01	-6.9613844e-01
1.9402744e+09	1.2232019e-01	-6.9621867e-01
1.9402750e+09	1.2220604e-01	-6.9614165e-01
1.9402756e+09	1.2226726e-01	-6.9610978e-01
1.9402762e+09	1.2209519e-01	-6.9624366e-01
1.9402768e+09	1.2169425e-01	-6.9635282e-01
1.9402774e+09	1.2126630e-01	-6.9607714e-01
1.9402780e+09	1.2080790e-01	-6.9631830e-01
1.9402786e+09	1.2082240e-01	-6.9626462e-01
1.9402792e+09	1.2063400e-01	-6.9641934e-01
1.9402798e+09	1.1994646e-01	-6.9637496e-01
1.9402804e+09	1.2020504e-01	-6.9647627e-01
1.9402810e+09	1.2032152e-01	-6.9665931e-01
1.9402816e+09	1.1984072e-01	-6.9676749e-01
1.9402822e+09	1.1952672e-01	-6.9670610e-01
1.9402828e+09	1.1911888e-01	-6.9641338e-01
1.9402834e+09	1.1871926e-01	-6.9660367e-01
1.9402840e+09	1.1838856e-01	-6.9671401e-01
1.9402846e+09	1.1835177e-01	-6.9677962e-01
